REGIAO,UF,ESTACAO,CODIGO,LATITUDE,LONGITUDE,ALTITUDE,DATA_DE_FUNDACAO
SE,MG,BARBACENA,A502,"-21,22833332","-43,76777777","1168,76",05/12/02
SE,MG,ARAXA,A505,"-19,60583333","-46,94972221","1018,32",19/12/02
SE,MG,MONTES CLAROS,A506,"-16,68638888","-43,84388888","645,87",19/12/02
SE,MG,UBERLANDIA,A507,"-18,91694443","-48,25555555","874,77",18/12/02
SE,MG,ALMENARA,A508,"-16,16666666","-40,68777777","189,11",15/12/02
SE,MG,MONTE VERDE,A509,"-22,86166666","-46,04333333","1544,89",19/12/04
SE,MG,VICOSA,A510,"-20,762607","-42,864013","697,64",15/09/05
SE,MG,TIMOTEO,A511,"-19,57388888","-42,62249999","493,42",22/02/06
SE,MG,ITUIUTABA,A512,"-18,95277777","-49,52499999","540,08",12/05/06
SE,MG,OURO BRANCO,A513,"-20,55666666","-43,75611111","1048,2",28/07/06
SE,MG,SAO JOAO DEL REI,A514,"-21,106502","-44,250928","929,88",09/06/06
SE,MG,VARGINHA,A515,"-21,56638888","-45,40416666","949,78",13/07/06
SE,MG,PASSOS,A516,"-20,745237","-46,633916","781,7",16/07/06
SE,MG,MURIAE,A517,"-21,105","-42,37583332","282,79",30/08/06
SE,MG,JUIZ DE FORA,A518,"-21,769965","-43,364329","936,88",26/05/07
SE,MG,CAMPINA VERDE,A519,"-19,53921","-49,518133","559,07",15/07/06
SE,MG,CONCEICAO DAS ALAGOAS,A520,"-19,98586","-48,151574","572,54",18/07/06
SE,MG,BELO HORIZONTE (PAMPULHA),A521,"-19,88388888","-43,96944443","854,02",10/10/06
SE,MG,SERRA DOS AIMORES,A522,"-17,79888888","-40,25","211,97",21/08/06
SE,MG,PATROCINIO,A523,"-18,996684","-46,985935","978,11",22/08/06
SE,MG,FORMIGA,A524,"-20,455","-45,45388888","878,14",17/08/06
SE,MG,SACRAMENTO,A525,"-19,87527777","-47,43416666","913,12",19/08/06
SE,MG,MONTALVANIA,A526,"-14,40833333","-44,40416666","519,52",26/06/07
SE,MG,TEOFILO OTONI,A527,"-17,89284","-41,515423","467,17",25/08/06
SE,MG,TRES MARIAS,A528,"-18,200855","-45,459836","931,01",25/08/06
SE,MG,PASSA QUATRO,A529,"-22,395799","-44,961909","1017,1",30/05/07
SE,MG,CALDAS,A530,"-21,918066","-46,382996","1077,34",28/11/06
SE,MG,MARIA DA FE,A531,"-22,314567","-45,373049","1281,43",01/12/06
SE,MG,GOVERNADOR VALADARES,A532,"-18,830354","-41,977007","198,24",27/05/07
SE,MG,GUANHAES,A533,"-18,78694444","-42,94305555","852,68",02/06/07
SE,MG,AIMORES,A534,"-19,53277777","-41,09083333","287,74",05/08/07
SE,MG,FLORESTAL,A535,"-19,88527777","-44,41694443","753,5",27/06/08
SE,MG,DORES DO INDAIA,A536,"-19,481935","-45,593932","721,09",01/06/07
SE,MG,DIAMANTINA,A537,"-18,231052","-43,648269","1359,25",05/06/07
SE,MG,CURVELO,A538,"-18,747711","-44,453785","669,48",18/12/06
SE,MG,MOCAMBINHO,A539,"-15,085958","-44,016036",454,11/11/07
SE,MG,MANTENA,A540,"-18,78062","-40,986505","254,91",01/08/07
SE,MG,CAPELINHA,A541,"-17,70555555","-42,38916666","932,06",31/08/07
SE,MG,UNAI,A542,"-16,55416666","-46,88194443","640,85",16/06/07
SE,MG,ESPINOSA,A543,"-14,91222222","-42,80861111","565,36",14/11/07
SE,MG,BURITIS,A544,"-15,52416666","-46,43555555",894,19/06/07
SE,MG,PIRAPORA,A545,"-17,258064","-44,835556","505,32",04/07/07
SE,MG,GUARDA-MOR,A546,"-17,56138888","-47,19916666","997,01",11/07/07
SE,MG,SAO ROMAO,A547,"-16,36277777","-45,12388888","490,29",30/06/07
SE,MG,CHAPADA GAUCHA,A548,"-15,30027777","-45,61749999","873,2",22/06/07
SE,MG,AGUAS VERMELHAS,A549,"-15,751536","-41,457787","754,07",09/09/07
SE,MG,ITAOBIM,A550,"-16,575667","-41,485588","271,63",05/09/07
SE,MG,RIO PARDO DE MINAS,A551,"-15,72305554","-42,43583333","850,06",17/11/07
SE,MG,SALINAS,A552,"-16,16027777","-42,31027777","487,14",14/09/07
SE,MG,JOAO PINHEIRO,A553,"-17,78444444","-46,11944443","877,05",07/07/07
SE,MG,CARATINGA,A554,"-19,735757","-42,137146","609,25",24/05/07
SE,MG,IBIRITE (ROLA MOCA),A555,"-20,031457","-44,011249","1198,82",06/06/08
SE,MG,MANHUACU,A556,"-20,26333333","-42,18277777","819,47",25/09/10
SE,MG,CORONEL PACHECO,A557,"-21,54666666","-43,26111111","411,14",17/10/12
SE,MG,JANUARIA,A559,"-15,448089","-44,366313",468,23/06/16
SE,MG,POMPEU,A560,"-19,23249999","-44,96416666",705,21/08/15
SE,MG,SAO SEBASTIAO DO PARAISO,A561,"-20,91","-47,11416666",845,17/08/15
SE,MG,PATOS DE MINAS,A562,"-18,52055554","-46,44055555",950,12/05/17
SE,MG,NOVA PORTEIRINHA (JANAUBA),A563,"-15,80277777","-43,29694444",532,19/11/16
SE,MG,DIVINOPOLIS,A564,"-20,17333332","-44,87499999",796,26/10/17
SE,MG,BAMBUI,A565,"-20,0311111","-46,00888888",697,23/11/16
SE,MG,ARACUAI,A566,"-16,84888888","-42,03527777",308,19/05/17
SE,MG,MACHADO,A567,"-21,680722","-45,944389",969,21/07/17
SE,MG,UBERABA,A568,"-19,71","-47,96194444",778,19/05/17
SE,MG,SETE LAGOAS,A569,"-19,45527777","-44,17333332",719,10/06/16
SE,MG,OLIVEIRA,A570,"-20,715","-44,86444444",1025,19/10/17
SE,MG,PARACATU,A571,"-17,24444444","-46,88166666",705,16/03/18
SE,MG,BELO HORIZONTE - CERCADINHO,F501,"-19,97999999","-43,95861111","1199,55",27/12/13
